CzeV;ID (UCAC4);VSX ID;RA [h m s];DE [ø ' ''];Const;Type;V [mag];J [mag];J-K [mag];Amp [mag];Passband;M0 [JD];P [d];Discoverer;Year;Online information
1157;USNO-B1.0 1210-0105204;;05 52 51.666;+31 03 41.97;Aur;EW;;15.476;0.352;0.4;C;2457839.953;0.352638;PC;2017;http://var2.astro.cz/czev.php?id=1157
1158;USNO-B1.0 1208-0104111;;05 51 54.279;+30 48 45.19;Aur;EA;;15.428;0.519;0.4;C;2457753.53;3.608943;PC;2017;http://var2.astro.cz/czev.php?id=1158
1159;UCAC4 602-024301;;05 46 54.604;+30 22 55.17;Aur;EA;;13.133;0.463;0.3;C;2457775.269;2.482638;PC;2017;http://var2.astro.cz/czev.php?id=1159
1160;USNO-B1.0 1209-0103704;;05 50 01.135;+30 55 20.85;Aur;EW;;15.82;0.789;0.4;C;2457775.2655;0.281796;PC;2017;http://var2.astro.cz/czev.php?id=1160
1161;UCAC4 604-025181;;05 49 39.328;+30 47 43.35;Aur;EW;;15.063;0.729;0.3;C;2457775.421;0.278932;PC;2017;http://var2.astro.cz/czev.php?id=1161
1162;USNO-B1.0 1213-0099138;;05 44 58.346;+31 18 04.30;Aur;DSCT;;14.321;0.797;0.2;C;2457071.1389;0.277775;PC;2017;http://var2.astro.cz/czev.php?id=1162
1163;USNO-B1.0 1205-0102051;;05 45 00.498;+30 31 40.94;Aur;EA;;15.078;0.9;0.7;C;2457775.53;1.132013;PC;2017;http://var2.astro.cz/czev.php?id=1163
1164;UCAC4 602-024312;;05 46 57.808;+30 16 33.86;Aur;DSCT;12.835;11.256;0.391;0.02;C;2457445.541;0.187903;PC;2017;http://var2.astro.cz/czev.php?id=1164
1165;UCAC4 674-081503;;20 08 15.038;+44 43 20.64;Cyg;EW;14.731;13.077;0.516;0.66;C;2457895.4131;0.411254;MM, MT;2017;http://var2.astro.cz/czev.php?id=1165
1166;UCAC4 673-083907;;20 06 28.369;+44 28 22.34;Cyg;EW;15.489;13.714;0.521;0.6;C;2457896.4577;0.318468;MM, MT, FL;2017;http://var2.astro.cz/czev.php?id=1166
1167;UCAC4 675-081459;;20 04 14.767;+44 48 27.24;Cyg;EW;15.627;14.07;0.694;0.5;C;2457896.438;0.28872;MM, MT;2017;http://var2.astro.cz/czev.php?id=1167
1168;UCAC4 673-083576;;20 04 42.789;+44 30 07.41;Cyg;EW;15.148;13.488;0.391;0.5;C;2457896.41;0.41599;MM, MT, FL;2017;http://var2.astro.cz/czev.php?id=1168
1169;UCAC4 676-079443;;20 04 29.243;+45 04 23.48;Cyg;EW;;13.49;0.689;0.4;C;2457901.438;0.376305;MM, MT;2017;http://var2.astro.cz/czev.php?id=1169
1170;UCAC4 674-081224;;20 07 12.034;+44 46 41.27;Cyg;EW;14.068;12.508;0.489;0.21;C;2457895.53;0.381825;MM, MT;2017;http://var2.astro.cz/czev.php?id=1170
1171;UCAC4 623-070903;;19 19 19.189;+34 31 00.64;Lyr;DSCT;14.079;13.058;0.291;;;;;FW;2017;http://var2.astro.cz/czev.php?id=1171
1172;UCAC4 623-072430;;19 23 43.481;+34 35 05.19;Lyr;EW;14.406;13.38;0.339;;;;;FW;2016;http://var2.astro.cz/czev.php?id=1172
1173;UCAC4 625-069292;;19 18 52.711;+34 51 07.39;Lyr;DSCT;12.803;12.15;0.171;;;;;MM;2016;http://var2.astro.cz/czev.php?id=1173
1174;UCAC4 453-089706;;19 10 58.923;+00 30 05.19;Aql;DSCT;14.979;13.137;0.487;0.25;Rc;2457634.5625;0.189456;FN, MJ;2017;http://var2.astro.cz/czev.php?id=1174
1175;UCAC4 255-003856;;03 50 42.644;-39 06 34.55;Eri;EW;12.901;11.757;0.49;0.19;C;2454475.385;0.268312;MM;2016;http://var2.astro.cz/czev.php?id=1175
1176;UCAC4 096-004244;;03 54 35.584;-70 59 45.30;Hyi;HADS;12.568;11.86;0.107;0.44;V;2452141.063;0.058927;MM;2016;http://var2.astro.cz/czev.php?id=1176
1177;UCAC4 093-004537;;03 55 08.168;-71 35 59.61;Hyi;;12.034;10.979;0.313;0.15;V;;0.20091;MM;2016;http://var2.astro.cz/czev.php?id=1177
1178;UCAC4 095-003422;;03 29 32.012;-71 08 17.54;Hyi;EW;;12.957;0.558;0.33;V;2452141.135;0.256887;MM;2016;http://var2.astro.cz/czev.php?id=1178
1179;UCAC4 091-006088;;03 43 49.376;-71 49 02.92;Hyi;EW;14.2;13.028;0.361;0.4;V;;0.385907;MM;2016;http://var2.astro.cz/czev.php?id=1179
1180;UCAC4 093-004247;;03 35 32.139;-71 33 06.00;Hyi;EW;13.782;12.689;0.28;0.5;V;;0.208238;MM;2016;http://var2.astro.cz/czev.php?id=1180
1181;UCAC4 215-028030;;08 40 31.987;-47 00 01.46;Vel;EW;13.773;12.401;0.446;0.4;V;2453040.453;0.304516;MM;2016;http://var2.astro.cz/czev.php?id=1181
1182;UCAC4 214-026003;;08 35 27.445;-47 19 29.71;Vel;EW;13.229;11.578;0.501;0.2;V;;0.402966;MM;2016;http://var2.astro.cz/czev.php?id=1182
